# pair: v6_charset_norm
# side_a: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=6.0.0 sha=8a4636b1d4ef21d11cc8190f6ff271670b9d20ee pkg=chardet module=chardet
# side_b: repo=/srv/repos/public/spec-poc/chardet-relicense/charset_normalizer tag=3.4.7 sha=0f07891bf516b5d5231f1bd4dd2d8da7d4d09a9a pkg=charset_normalizer module=charset_normalizer
signal	contract	expected	actual	verdict	evidence
behavioural_fingerprint:html_latin	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.500 normalized_match_rate=0.500 n_inputs=4	MEASURED	exact=0/4 bucket=2/4 normalized=2/4
behavioural_fingerprint:malformed	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.167 normalized_match_rate=0.167 n_inputs=6	MEASURED	exact=0/6 bucket=1/6 normalized=1/6
behavioural_fingerprint:multilingual_gb18030	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.600 normalized_match_rate=0.600 n_inputs=5	MEASURED	exact=0/5 bucket=3/5 normalized=3/5
behavioural_fingerprint:multilingual_iso88591	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.250 normalized_match_rate=0.250 n_inputs=4	MEASURED	exact=0/4 bucket=1/4 normalized=1/4
behavioural_fingerprint:multilingual_shiftjis	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.500 normalized_match_rate=1.000 n_inputs=2	MEASURED	exact=0/2 bucket=1/2 normalized=2/2
behavioural_fingerprint:multilingual_utf8	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.778 normalized_match_rate=0.778 n_inputs=9	MEASURED	exact=0/9 bucket=7/9 normalized=7/9
behavioural_fingerprint:multilingual_windows1252	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.250 normalized_match_rate=0.250 n_inputs=4	MEASURED	exact=0/4 bucket=1/4 normalized=1/4
behavioural_fingerprint:random_control	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.000 normalized_match_rate=0.000 n_inputs=1000	MEASURED	exact=0/1000 bucket=0/1000 normalized=0/1000
behavioural_fingerprint:rfc_ascii	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.000 bucket_match_rate=0.750 normalized_match_rate=0.750 n_inputs=4	MEASURED	exact=0/4 bucket=3/4 normalized=3/4
behavioural_fingerprint:short_snippets	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.188 bucket_match_rate=0.688 normalized_match_rate=0.688 n_inputs=16	MEASURED	exact=3/16 bucket=11/16 normalized=11/16
