# pair: v5_v6
# side_a: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=5.0.0 sha=21bc6befb1795b9de4a1f8f707982ec627ba9683 pkg=chardet module=chardet
# side_b: repo=/srv/repos/public/spec-poc/chardet-relicense/chardet tag=6.0.0 sha=8a4636b1d4ef21d11cc8190f6ff271670b9d20ee pkg=chardet module=chardet
signal	contract	expected	actual	verdict	evidence
behavioural_fingerprint:html_latin	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=1.000 bucket_match_rate=1.000 normalized_match_rate=1.000 n_inputs=4	MEASURED	exact=4/4 bucket=4/4 normalized=4/4
behavioural_fingerprint:malformed	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.167 bucket_match_rate=0.167 normalized_match_rate=0.333 n_inputs=6	MEASURED	exact=1/6 bucket=1/6 normalized=2/6
behavioural_fingerprint:multilingual_gb18030	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.200 bucket_match_rate=0.200 normalized_match_rate=0.600 n_inputs=5	MEASURED	exact=1/5 bucket=1/5 normalized=3/5
behavioural_fingerprint:multilingual_iso88591	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.250 bucket_match_rate=0.250 normalized_match_rate=0.250 n_inputs=4	MEASURED	exact=1/4 bucket=1/4 normalized=1/4
behavioural_fingerprint:multilingual_shiftjis	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=1.000 bucket_match_rate=1.000 normalized_match_rate=1.000 n_inputs=2	MEASURED	exact=2/2 bucket=2/2 normalized=2/2
behavioural_fingerprint:multilingual_utf8	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.889 bucket_match_rate=0.889 normalized_match_rate=0.889 n_inputs=9	MEASURED	exact=8/9 bucket=8/9 normalized=8/9
behavioural_fingerprint:multilingual_windows1252	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.250 bucket_match_rate=0.250 normalized_match_rate=0.250 n_inputs=4	MEASURED	exact=1/4 bucket=1/4 normalized=1/4
behavioural_fingerprint:random_control	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.968 bucket_match_rate=0.968 normalized_match_rate=0.968 n_inputs=1000	MEASURED	exact=968/1000 bucket=968/1000 normalized=968/1000
behavioural_fingerprint:rfc_ascii	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=1.000 bucket_match_rate=1.000 normalized_match_rate=1.000 n_inputs=4	MEASURED	exact=4/4 bucket=4/4 normalized=4/4
behavioural_fingerprint:short_snippets	C06e	report exact-match rate AND (encoding, confidence-bucket) match rate per corpus bucket	exact_match_rate=0.688 bucket_match_rate=0.688 normalized_match_rate=0.688 n_inputs=16	MEASURED	exact=11/16 bucket=11/16 normalized=11/16
